datetime,nat_demand,label
0,970.345,0
1,912.1755,0
2,900.2688,0
3,889.9538,0
4,893.6865,0
5,879.2323,0
6,932.4876,0
7,1048.972,0
8,1167.9074,0
9,1257.5069,0
10,1254.583,0
11,1216.9004,0
12,1202.1556,0
13,1197.2616,0
14,1169.0034,0
15,1136.7054,0
16,1101.9447,0
17,1107.0406,0
18,1142.1548,0
19,1097.2334,0
20,1074.6544,0
21,1041.3244,0
22,999.6339999999999,0
23,968.0526,0
24,944.0556,0
25,928.7193,0
26,909.5566,0
27,894.6543,0
28,884.6659,0
29,862.9888,0
30,871.6873,0
31,912.4966,0
32,969.8017,0
33,1019.3105,0
34,1059.7497,0
35,1069.7854,0
36,1087.2858,0
37,1087.1689,0
38,1075.3804,0
39,1056.4102,0
40,1033.7229,0
41,1101.5439,0
42,1137.1754,0
43,1133.2082,0
44,1102.3695,0
45,1072.5808,0
46,1012.596,0
47,958.6209,0
48,928.5338,0
49,901.5402,0
50,887.7822,0
51,881.0019,0
52,885.4197,0
53,902.0863,0
54,1037.157,0
55,1191.9135,0
56,1319.8159,0
57,1383.0651,0
58,1415.1816,0
59,1398.8659,0
60,1430.5514,0
61,1413.9896,0
62,1378.7528,0
63,1292.2593,0
64,1178.1032,0
65,1188.0149,0
66,1207.7648,0
67,1156.6583,0
68,1114.1973,0
69,1066.7578,0
70,1002.3568,0
71,931.5394,0
72,914.6895,0
73,890.8448,0
74,869.0447,0
75,852.4821,0
76,891.2575,0
77,895.6612,0
78,1006.3031,0
79,1183.9851,0
80,1311.9373,0
81,1384.2441,0
82,1401.9173,0
83,1415.6382,0
84,1437.47,0
85,1430.0527,0
86,1383.4537,0
87,1325.2060000000001,0
88,1166.9817,0
89,1163.0865,0
90,1197.1559,0
91,1155.743,0
92,1116.5382,0
93,1086.2051,0
94,1030.0292,0
95,979.6728,0
96,940.4568,0
97,908.5931,0
98,886.4675,0
99,876.4283,0
100,892.4143,0
101,907.9188,0
102,1010.5448,0
103,1164.6559,0
104,1293.9383,0
105,1366.6676,0
106,1390.9173,0
107,1383.5812,0
108,1407.7425,0
109,1408.6819,0
110,1362.4042,0
111,1286.8121,0
112,1179.9351,0
113,1182.7732,0
114,1206.2524,0
115,1143.2591,0
116,1138.631,0
117,1095.4537,0
118,1044.1697,0
119,985.8912,0
120,962.4068,0
121,928.1036,0
122,917.9997,0
123,910.9537,0
124,928.7239999999999,0
125,931.4314,0
126,1033.7357,0
127,1186.5044,0
128,1275.112,0
129,1348.951,0
130,1365.6284,0
131,1343.4717,0
132,1371.5959,0
133,1383.9909,0
134,1333.5524,0
135,1255.568,0
136,1142.0101,0
137,1188.5847,0
138,1172.1282,0
139,1136.7167,0
140,1111.7702,0
141,1069.2922,0
142,1017.9603,0
143,977.2739,0
144,943.6081,0
145,917.064,0
146,895.9092,0
147,885.2719999999999,0
148,884.8111,0
149,866.5622,0
150,883.0248,0
151,953.57,0
152,1006.9689,0
153,1058.0176,0
154,1088.0395,0
155,1080.8465,0
156,1073.435,0
157,1075.0293,0
158,1059.6223,0
159,1026.1627,0
160,997.3978,0
161,1054.8104,0
162,1105.863,0
163,1085.7856,0
164,1061.3146,0
165,1033.8639,0
166,989.8507,0
167,949.5031,0
168,906.9580000000001,0
169,863.5135,0
170,848.4447,0
171,839.8821,0
172,847.1073,0
173,848.4718,0
174,897.8229,0
175,1021.672,0
176,1108.9439,0
177,1165.4756,0
178,1179.063,0
179,1173.0899,0
180,1161.4116,0
181,1133.3133,0
182,1100.6097,0
183,1082.6875,0
184,1051.4135,0
185,1088.8689,0
186,1144.2722,0
187,1102.2466,0
188,1064.151,0
189,1030.4566,0
190,979.5945,0
191,956.5766,0
192,924.2795,0
193,887.4576,0
194,858.9606,0
195,847.4881,0
196,842.7522,0
197,807.4211,0
198,813.1819,0
199,873.801,0
200,935.3192,0
201,1009.0054,0
202,1070.3791,0
203,1070.603,0
204,1073.1479,0
205,1064.0288,0
206,1060.6283,0
207,1030.8882,0
208,1015.4938,0
209,1073.743,0
210,1113.4443,0
211,1122.2487,0
212,1095.6601,0
213,1046.8138,0
214,1010.9126,0
215,968.9371,0
216,941.5469,0
217,898.3399,0
218,881.8438,0
219,870.5737,0
220,876.8468,0
221,903.8017,0
222,1018.3418,0
223,1228.567,0
224,1317.0702,0
225,1413.0273,0
226,1452.004,0
227,1439.2499,0
228,1468.9201,0
229,1466.2352,0
230,1420.9684,0
231,1352.0557,0
232,1218.532,0
233,1214.6585,0
234,1247.0384,0
235,1196.3554,0
236,1179.6993,0
237,1113.0861,0
238,1069.6154,0
239,1008.6023,0
240,963.507,0
241,932.9905,0
242,914.5482,0
243,890.0387,0
244,898.9312,0
245,938.52,0
246,1032.0544,0
247,1231.2967,0
248,1342.1865,0
249,1400.6246,0
250,1418.5336,0
251,1399.3289,0
252,1431.8609,0
253,1434.055,0
254,1410.4219,0
255,1343.8872,0
256,1226.8784,0
257,1230.8641,0
258,1245.7079,0
259,1208.0527,0
260,1174.6285,0
261,1114.6625,0
262,1064.1879,0
263,1002.2639999999999,0
264,978.6654,0
265,961.1263,0
266,949.9135,0
267,941.1751,0
268,947.0861,0
269,978.1018,0
270,1057.7492,0
271,1241.2153,0
272,1344.3622,0
273,1398.4079,0
274,1430.8634,0
275,1425.2537,0
276,1452.8792,0
277,1453.3303,0
278,1407.6635,0
279,1344.7520000000002,0
280,1246.3577,0
281,1241.1589999999999,0
282,1266.2798,0
283,1239.0832,0
284,1198.7594,0
285,1147.5305,0
286,1077.9967,0
287,1009.414,0
288,944.5274,0
289,923.3099,0
290,912.9435,0
291,908.5382,0
292,916.3589999999999,0
293,949.9374,0
294,1049.5205,0
295,1215.5374,0
296,1308.8693,0
297,1383.5532,0
298,1425.1319,0
299,1408.9089999999999,0
300,1434.3734,0
301,1439.2714,0
302,1411.9155,0
303,1320.2123,0
304,1215.5868,0
305,1221.7823,0
306,1243.9258,0
307,1210.1078,0
308,1166.7953,0
309,1118.9697,0
310,1078.6774,0
311,1025.3113,0
312,981.1144,0
313,959.4843,0
314,940.8151,0
315,922.6210000000001,0
316,941.2428,0
317,949.9041,0
318,1053.5691,0
319,1214.1629,0
320,1310.7047,0
321,1392.4875,0
322,1419.3144,0
323,1407.0465,0
324,1439.7809,0
325,1442.2483,0
326,1400.3094,0
327,1323.8939,0
328,1213.3788,0
329,1237.9159,0
330,1259.9918,0
331,1222.3446,0
332,1187.8758,0
333,1179.2041,0
334,1053.5185,0
335,1000.2899,0
336,962.2865,0
337,933.3221,0
338,903.9817,0
339,900.9995,0
340,904.3481,0
341,912.508,0
342,927.5976,0
343,1075.3486,0
344,1116.6425,0
345,1121.9048,0
