date,point_global,point_context,coll_glob,coll_season,point_context_point_global
2000-01-01,0.23635608719578544,-0.08861039817548537,0.08169097532250207,-0.034346465607749045,-0.014292084738256283
2000-01-02,0.46494363352292667,0.35166338032260325,0.40914829398075847,0.4110626128334469,0.33767674476207626
2000-01-03,0.7382515277428416,0.6661735674435239,0.8264920127250851,0.7230382203460514,1.6872196063893041
2000-01-04,0.9695249391071303,1.097878206329884,1.0564488570572284,1.193929461402098,1.0661982527204532
2000-01-05,1.3138684268257732,1.3683755061976017,1.1243564156081547,1.3134723531481303,1.3199807253814861
2000-01-06,1.3581614899278802,1.2876471803220066,1.4716646687912642,1.2754100786826048,1.3230838499397992
2000-01-07,1.506293807038,1.3892910716725189,1.5747394615350894,1.5752011807411073,1.5355077345892507
2000-01-08,1.4851390946866974,1.514138907517389,1.4753254449273223,1.5123518169820012,1.3708132174287957
2000-01-09,1.4262654571916167,1.2817692015665492,1.2300051090604045,1.3104162144959115,1.4085388060126527
2000-01-10,1.1989880665405903,1.18212344331634,1.1502445818257478,1.0778782137762606,1.126037207532943
2000-01-11,0.959808032649075,1.0323599304528617,0.8420258314134406,0.8242788124070906,0.8876548390276886
2000-01-12,0.5556992686495991,0.4923750863875615,0.5951614900165907,0.6188980576034908,0.5470011127983733
2000-01-13,0.19278741681072475,0.2112035093136415,0.15128343365354857,0.25327322589507234,0.2603207800458181
2000-01-14,-0.12539713566002314,-0.1992805974158594,-0.09780523276196329,-0.2378609223796052,-0.21265485475987989
2000-01-15,-0.5863539214923923,-0.4891618422751217,-0.5167187120430264,-0.6358533149275518,-2.187168892194842
2000-01-16,-4.487699623437804,-0.9099758461068104,-0.856784360896018,-0.9296254949302948,-0.872704674954317
2000-01-17,-1.210664522048182,-1.247276424733944,-1.0719806573514903,-1.1400056467169,-1.1553843839611737
2000-01-18,-1.4513204650052207,-1.370701194960014,-1.4590106022974703,-1.2430873605992976,-1.4130470900045577
2000-01-19,-1.4077648254612327,-1.381461038344748,-1.573288621481833,-1.5305567995560472,-1.3765419092567313
2000-01-20,-1.557806785259506,-1.5155553581289025,-1.5590121185653327,-1.5778483813394089,-1.463156011025437
2000-01-21,-1.4015557261368297,-1.5274738634096092,-1.3842998315054584,-1.5739966063699429,-1.4871471826390854
2000-01-22,-1.185855565869246,-0.9286255163038546,-1.450068422506785,-1.3793506459979754,-1.2577996266092182
2000-01-23,-0.9743552250577538,-0.9652801144511531,-1.0423811318295066,-0.9692727194546273,-1.001905709124705
2000-01-24,-0.787505808035295,-0.6889962595728455,-0.7375436583042547,-0.695343538771286,-2.6755154430095907
2000-01-25,-0.32660605883308214,-0.26866691221568395,-0.4663180649062537,-0.26663139247932144,-0.34157448801128193
2000-01-26,-0.022002882929168115,0.003695884396068266,-0.04034941713742576,0.025023323569755337,0.017358883452602336
2000-01-27,0.3751463346685791,0.36347962795573996,0.3805707640657462,0.36637657656928396,0.49493732716647854
2000-01-28,0.6768482345271338,1.176647139834811,0.6884641439377213,0.7725222212437655,0.7759357034684873
2000-01-29,0.9836688863841161,0.8058062659838965,1.1404833815219209,0.9587318186802123,0.9992563170840283
2000-01-30,1.410142594626012,1.3121708786578619,1.148460681891042,1.2760733489146665,1.291796355571176
2000-01-31,1.415563583701516,1.4435161343847667,1.4571002415890946,1.404453692483556,1.4785488699244707
2000-02-01,1.3954048189164405,1.459164369367039,1.4847365539061261,1.3659752054399572,1.405888866947496
2000-02-02,1.4351901325066938,0.1831707188515697,1.4518771798270027,1.553323391652178,1.5451959148473162
2000-02-03,1.348403475599751,1.1859021521714728,1.322180571291946,1.3603047821302972,1.3532723091279948
2000-02-04,2.9542735289266573,1.1873442961913003,1.2406854524070852,1.199551918782582,1.0629175500899737
2000-02-05,0.8097785076871578,0.9395607149145329,0.759718888211225,0.7860281738866215,2.566473806957163
2000-02-06,0.49331019739490256,0.5807515474903227,0.6109754107928089,0.5111554649977216,0.5010970925407879
